,Url of player
0,https://euw.op.gg/summoner/userName=Lathyrus
1,https://euw.op.gg/summoner/userName=AST+MagiFelix
2,https://euw.op.gg/summoner/userName=Kirei+sama
3,https://euw.op.gg/summoner/userName=toucouille
4,https://euw.op.gg/summoner/userName=Hantera1
5,https://euw.op.gg/summoner/userName=nobody+knows0
6,https://euw.op.gg/summoner/userName=A+Do+Sola+Diatas
7,https://euw.op.gg/summoner/userName=Bl%CE%BFws+a+bit
8,https://euw.op.gg/summoner/userName=S%CE%BFfm+Jr
9,https://euw.op.gg/summoner/userName=man+like+Innaxe
10,https://euw.op.gg/summoner/userName=Iziio
11,https://euw.op.gg/summoner/userName=school+phobia
12,https://euw.op.gg/summoner/userName=Agurin
13,https://euw.op.gg/summoner/userName=lts+a+process
14,https://euw.op.gg/summoner/userName=GMB+Lekcyc
15,https://euw.op.gg/summoner/userName=FNC+Bwipo
16,https://euw.op.gg/summoner/userName=papabear68
17,https://euw.op.gg/summoner/userName=TwTv+DonWay4u
18,https://euw.op.gg/summoner/userName=manjushage
19,https://euw.op.gg/summoner/userName=%CE%9Cersa
20,https://euw.op.gg/summoner/userName=Jonah+Falcon
21,https://euw.op.gg/summoner/userName=BDS+iBo
22,https://euw.op.gg/summoner/userName=Babus
23,https://euw.op.gg/summoner/userName=scarface+xyz
24,https://euw.op.gg/summoner/userName=lur1keen
25,https://euw.op.gg/summoner/userName=iyi+g%C3%BCnler
26,https://euw.op.gg/summoner/userName=mnbvzx
27,https://euw.op.gg/summoner/userName=JENAAAAAAX
28,https://euw.op.gg/summoner/userName=Sawyor
29,https://euw.op.gg/summoner/userName=G2+Martin+6
30,https://euw.op.gg/summoner/userName=Joker+z+Sosnowca
31,https://euw.op.gg/summoner/userName=JannaBardLulu
32,https://euw.op.gg/summoner/userName=Raz%C3%B8rk+Activoo
33,https://euw.op.gg/summoner/userName=LIMIT12345
34,https://euw.op.gg/summoner/userName=weixin+PaoPaoPW
35,https://euw.op.gg/summoner/userName=Tazaku
36,https://euw.op.gg/summoner/userName=Yikeru
37,https://euw.op.gg/summoner/userName=Exakickooooooo
38,https://euw.op.gg/summoner/userName=MSF+Sertuss
39,https://euw.op.gg/summoner/userName=Kaor1
40,https://euw.op.gg/summoner/userName=Rayito
41,https://euw.op.gg/summoner/userName=happy+luna
42,https://euw.op.gg/summoner/userName=TraYtoN
43,https://euw.op.gg/summoner/userName=Odoamne
44,https://euw.op.gg/summoner/userName=qweasdf
45,https://euw.op.gg/summoner/userName=Real+Annie+IRL
46,https://euw.op.gg/summoner/userName=JcZr
47,https://euw.op.gg/summoner/userName=Ploxy
48,https://euw.op.gg/summoner/userName=TwTv+Talongodx
49,https://euw.op.gg/summoner/userName=pr1me%C3%A9+
50,https://euw.op.gg/summoner/userName=cApUpRegan
51,https://euw.op.gg/summoner/userName=HANSSAMAAA
52,https://euw.op.gg/summoner/userName=Pai+Mei
53,https://euw.op.gg/summoner/userName=GotzY
54,https://euw.op.gg/summoner/userName=RoseLMonster
55,https://euw.op.gg/summoner/userName=Ukazat
56,https://euw.op.gg/summoner/userName=SAKEN1
57,https://euw.op.gg/summoner/userName=RogueTheKangaroo
58,https://euw.op.gg/summoner/userName=kind+she%C3%B8
59,https://euw.op.gg/summoner/userName=AHaHaC%C3%ADK+
60,https://euw.op.gg/summoner/userName=Richard+Genzer
61,https://euw.op.gg/summoner/userName=jggapggwp
62,https://euw.op.gg/summoner/userName=Jeyrus
63,https://euw.op.gg/summoner/userName=420WeabooSlayer
64,https://euw.op.gg/summoner/userName=AL+AKlR
65,https://euw.op.gg/summoner/userName=DAVIDTHECREATOR
66,https://euw.op.gg/summoner/userName=1031Man
67,https://euw.op.gg/summoner/userName=GW+Irrelevant
68,https://euw.op.gg/summoner/userName=%CF%88%CF%84%CF%81%CE%BF%CF%86%CE%AE%CF%88
69,https://euw.op.gg/summoner/userName=very+artistic1
70,https://euw.op.gg/summoner/userName=NI+FAO+SHI
71,https://euw.op.gg/summoner/userName=Marky+Barky
72,https://euw.op.gg/summoner/userName=twtvsyndroomboy
73,https://euw.op.gg/summoner/userName=Ventairxyz
74,https://euw.op.gg/summoner/userName=ASTROFISTER9000
75,https://euw.op.gg/summoner/userName=FLAKKARDO
76,https://euw.op.gg/summoner/userName=Neon1337Ad
77,https://euw.op.gg/summoner/userName=Dzukill
78,https://euw.op.gg/summoner/userName=lmohjz
79,https://euw.op.gg/summoner/userName=WhiteKnight108
80,https://euw.op.gg/summoner/userName=maciej+wartak
81,https://euw.op.gg/summoner/userName=Den+Voksne
82,https://euw.op.gg/summoner/userName=Back+To+December
83,https://euw.op.gg/summoner/userName=S04+Broken+Blade
84,https://euw.op.gg/summoner/userName=Jezuuu
85,https://euw.op.gg/summoner/userName=RabbIe+Arouser
86,https://euw.op.gg/summoner/userName=xKenzuk%C3%A9
87,https://euw.op.gg/summoner/userName=Supaaa
88,https://euw.op.gg/summoner/userName=Blows+a+lot
89,https://euw.op.gg/summoner/userName=Vodka+Warrior
90,https://euw.op.gg/summoner/userName=ismaaa
91,https://euw.op.gg/summoner/userName=V%C4%B1nce
92,https://euw.op.gg/summoner/userName=Odysseus131
93,https://euw.op.gg/summoner/userName=dark+wizard1
94,https://euw.op.gg/summoner/userName=PARUS+3
95,https://euw.op.gg/summoner/userName=Yusa1
96,https://euw.op.gg/summoner/userName=VIadik
97,https://euw.op.gg/summoner/userName=Kieran+Tierney
98,https://euw.op.gg/summoner/userName=Markoon
99,https://euw.op.gg/summoner/userName=fjgyqwjsaqxcaa
